size,min,avg,max
689,360.86,373.38,395.09
690,359.01,371.25,387.93
691,356.57,370.77,394.57
692,359.05,377.56,419.95
693,358.74,371.90,394.35
694,356.98,370.65,398.05
695,354.36,370.31,391.72
696,357.28,370.25,387.98
697,355.16,369.29,388.97
698,354.08,371.13,394.17
699,355.34,372.07,405.49
700,358.87,374.00,408.21
701,359.46,380.06,416.92
702,359.06,372.98,397.45
703,357.33,373.93,401.48
704,363.40,380.52,405.76
705,360.20,374.54,400.54
706,358.55,373.68,396.78
707,358.40,379.33,406.98
708,361.06,377.66,426.09
709,363.55,380.02,407.40
710,361.36,374.78,398.67
711,360.33,374.15,398.82
712,360.67,373.77,393.63
713,360.32,373.89,394.45
714,360.84,374.10,400.60
715,361.98,376.30,399.80
716,362.78,375.78,397.95
717,360.32,373.12,389.15
718,360.87,373.21,393.82
719,361.46,374.48,399.47
720,358.27,372.92,392.39
721,360.49,373.49,394.90
722,359.21,376.05,403.93
723,361.03,376.49,406.76
724,363.83,377.62,396.04
725,360.75,374.04,396.97
726,355.71,373.73,389.48
727,359.56,375.12,407.30
728,359.16,374.99,392.95
729,358.54,375.00,390.69
730,361.78,383.58,424.75
731,362.16,377.17,404.46
732,362.27,376.22,395.20
733,359.31,376.11,398.58
734,362.27,379.97,415.09
735,363.50,379.63,416.12
736,361.39,379.39,404.09
737,362.98,380.26,407.74
738,364.84,380.11,414.13
739,364.05,382.68,433.34
740,366.21,382.41,406.08
741,365.96,380.60,405.28
742,362.74,378.32,402.05
743,361.23,378.04,400.39
744,363.11,378.76,399.67
745,367.73,383.57,422.36
746,365.42,379.04,404.55
747,362.81,385.61,411.33
748,369.41,381.78,399.50
749,364.82,380.03,410.68
750,365.47,378.62,397.34
751,365.16,379.36,398.74
752,363.72,382.49,409.71
753,369.11,387.80,413.99
754,373.32,387.14,407.40
755,367.07,381.95,400.95
756,370.92,381.05,398.30
757,367.00,380.86,397.46
758,365.56,380.66,400.44
759,365.25,380.82,415.68
760,369.73,384.26,402.21
761,369.26,384.21,410.35
762,369.73,386.52,424.63
763,368.55,392.92,425.52
764,373.06,390.95,421.85
765,368.22,385.03,406.05
766,369.65,385.75,410.60
767,367.70,390.75,427.00
768,370.50,385.10,404.44
769,368.45,384.52,407.08
770,368.41,385.32,406.31
771,367.33,384.63,405.23
772,366.41,384.35,409.32
773,367.38,384.92,413.46
774,370.16,388.49,415.88
775,368.27,386.47,410.36
776,367.48,386.00,409.08
777,367.04,389.40,448.21
778,369.86,389.63,414.67
779,371.52,385.49,412.24
780,368.94,385.17,409.76
781,369.91,386.19,411.96
782,371.59,389.69,425.50
783,369.49,386.50,413.16
784,366.43,385.46,417.38
785,370.52,394.85,418.68
786,369.49,388.85,411.98
787,371.52,386.70,408.58
788,371.19,386.33,412.50
789,371.94,388.70,415.26
790,373.79,388.85,427.62
791,372.11,387.80,408.60
792,371.79,387.89,416.35
793,370.67,388.04,424.27
794,370.47,387.13,406.68
795,371.02,387.12,420.19
796,374.17,388.07,412.69
797,374.83,390.21,424.38
798,372.22,388.27,408.76
799,376.24,395.62,427.70
800,377.43,390.80,413.87
801,376.84,389.76,410.72
802,374.40,388.73,409.82
803,374.47,389.63,407.72
804,378.85,401.22,435.23
805,377.47,391.24,423.67
806,373.52,393.47,435.99
807,382.70,404.08,435.27
808,382.19,397.44,422.51
809,377.56,394.12,416.11
810,378.82,394.20,420.43
811,376.28,396.35,435.11
812,373.09,392.30,413.81
813,369.88,390.77,409.37
814,375.38,390.90,417.28
815,382.06,398.94,421.26
816,372.05,392.08,408.50
817,375.34,395.25,423.68
818,379.91,396.09,421.70
819,378.48,393.18,414.50
820,379.20,405.55,448.47
821,381.07,398.98,422.88
822,380.07,403.28,467.05
823,376.80,395.51,413.99
824,375.64,396.63,424.58
825,379.21,398.16,424.15
826,377.73,398.89,430.72
827,383.58,401.07,426.42
828,381.42,394.97,415.33
829,380.93,395.04,419.12
830,379.12,394.63,417.63
831,377.15,393.86,417.36
832,377.28,395.55,436.00
833,381.92,396.97,419.09
834,380.48,394.20,418.07
835,381.85,393.91,416.11
836,385.23,406.10,436.47
837,386.90,399.28,414.31
838,381.29,396.89,420.51
839,383.02,396.22,422.14
840,382.15,401.31,424.00
841,379.43,397.15,427.35
